threshold,precision,recall,f1,tp,fp,tn,fn
0.1808617234468938,0.07890961262553801,0.9821428571428571,0.1460823373173971,55,642,2488,1
0.1818436873747495,0.07994186046511628,0.9821428571428571,0.1478494623655914,55,633,2497,1
0.18282565130260522,0.08017492711370262,0.9821428571428571,0.14824797843665768,55,631,2499,1
0.18380761523046094,0.08052708638360176,0.9821428571428571,0.14884979702300405,55,628,2502,1
0.18478957915831665,0.08088235294117647,0.9821428571428571,0.14945652173913043,55,625,2505,1
0.18577154308617236,0.08100147275405008,0.9821428571428571,0.14965986394557823,55,624,2506,1
0.18675350701402807,0.08160237388724036,0.9821428571428571,0.1506849315068493,55,619,2511,1
0.18773547094188378,0.08196721311475409,0.9821428571428571,0.15130674002751032,55,616,2514,1
0.1887174348697395,0.08270676691729323,0.9821428571428571,0.15256588072122051,55,610,2520,1
0.1896993987975952,0.08308157099697885,0.9821428571428571,0.1532033426183844,55,607,2523,1
0.19068136272545091,0.08358662613981763,0.9821428571428571,0.15406162464985995,55,603,2527,1
0.19166332665330663,0.08422664624808576,0.9821428571428571,0.15514809590973203,55,598,2532,1
0.19264529058116234,0.08448540706605223,0.9821428571428571,0.15558698727015557,55,596,2534,1
0.19362725450901805,0.08513931888544891,0.9821428571428571,0.15669515669515668,55,591,2539,1
0.19460921843687376,0.08580343213728549,0.9821428571428571,0.15781922525107603,55,586,2544,1
0.19559118236472947,0.0859375,0.9821428571428571,0.15804597701149425,55,585,2545,1
0.19657314629258518,0.08607198748043818,0.9821428571428571,0.15827338129496402,55,584,2546,1
0.1975551102204409,0.08661417322834646,0.9821428571428571,0.15918958031837915,55,580,2550,1
0.19853707414829663,0.08716323296354993,0.9821428571428571,0.16011644832605532,55,576,2554,1
0.19951903807615234,0.08771929824561403,0.9821428571428571,0.16105417276720352,55,572,2558,1
0.20050100200400806,0.088,0.9821428571428571,0.16152716593245228,55,570,2560,1
0.20148296593186377,0.08828250401284109,0.9821428571428571,0.16200294550810015,55,568,2562,1
0.20246492985971948,0.0888529886914378,0.9821428571428571,0.16296296296296298,55,564,2566,1
0.2034468937875752,0.08928571428571429,0.9821428571428571,0.1636904761904762,55,561,2569,1
0.2044288577154309,0.08928571428571429,0.9821428571428571,0.1636904761904762,55,561,2569,1
0.2054108216432866,0.09001636661211129,0.9821428571428571,0.16491754122938532,55,556,2574,1
0.20639278557114232,0.09046052631578948,0.9821428571428571,0.16566265060240964,55,553,2577,1
0.20737474949899803,0.09090909090909091,0.9821428571428571,0.1664145234493192,55,550,2580,1
0.20835671342685375,0.0912106135986733,0.9821428571428571,0.1669195751138088,55,548,2582,1
0.20933867735470946,0.09166666666666666,0.9821428571428571,0.1676829268292683,55,545,2585,1
0.21032064128256517,0.09212730318257957,0.9821428571428571,0.16845329249617153,55,542,2588,1
0.21130260521042088,0.09322033898305085,0.9821428571428571,0.17027863777089783,55,535,2595,1
0.2122845691382766,0.0935374149659864,0.9821428571428571,0.17080745341614906,55,533,2597,1
0.2132665330661323,0.09401709401709402,0.9821428571428571,0.17160686427457097,55,530,2600,1
0.214248496993988,0.09450171821305842,0.9821428571428571,0.1724137931034483,55,527,2603,1
0.21523046092184372,0.09482758620689655,0.9821428571428571,0.17295597484276728,55,525,2605,1
0.21621242484969944,0.0954861111111111,0.9821428571428571,0.17405063291139242,55,521,2609,1
0.21719438877755515,0.09598603839441536,0.9821428571428571,0.17488076311605724,55,518,2612,1
0.21817635270541086,0.09666080843585237,0.9821428571428571,0.176,55,514,2616,1
0.21915831663326657,0.09700176366843033,0.9821428571428571,0.17656500802568217,55,512,2618,1
0.22014028056112228,0.09786476868327403,0.9821428571428571,0.1779935275080906,55,507,2623,1
0.221122244488978,0.09803921568627451,0.9821428571428571,0.17828200972447325,55,506,2624,1
0.2221042084168337,0.0985663082437276,0.9821428571428571,0.1791530944625407,55,503,2627,1
0.22308617234468942,0.09892086330935251,0.9821428571428571,0.17973856209150327,55,501,2629,1
0.22406813627254513,0.09892086330935251,0.9821428571428571,0.17973856209150327,55,501,2629,1
0.22505010020040084,0.09927797833935018,0.9821428571428571,0.18032786885245902,55,499,2631,1
0.22603206412825655,0.09963768115942029,0.9821428571428571,0.18092105263157895,55,497,2633,1
0.22701402805611226,0.10018214936247723,0.9821428571428571,0.18181818181818182,55,494,2636,1
0.22799599198396797,0.10166358595194085,0.9821428571428571,0.18425460636515914,55,486,2644,1
0.22897795591182368,0.102803738317757,0.9821428571428571,0.18612521150592218,55,480,2650,1
0.2299599198396794,0.10318949343339587,0.9821428571428571,0.1867572156196944,55,478,2652,1
0.2309418837675351,0.10377358490566038,0.9821428571428571,0.18771331058020477,55,475,2655,1
0.23192384769539082,0.10396975425330812,0.9821428571428571,0.18803418803418803,55,474,2656,1
0.23290581162324653,0.10456273764258556,0.9821428571428571,0.18900343642611683,55,471,2659,1
0.23388777555110224,0.1049618320610687,0.9821428571428571,0.1896551724137931,55,469,2661,1
0.23486973947895795,0.1053639846743295,0.9821428571428571,0.1903114186851211,55,467,2663,1
0.23585170340681366,0.10597302504816955,0.9821428571428571,0.19130434782608696,55,464,2666,1
0.23683366733466937,0.1065891472868217,0.9821428571428571,0.19230769230769232,55,461,2669,1
0.23781563126252508,0.10721247563352826,0.9821428571428571,0.19332161687170474,55,458,2672,1
0.2387975951903808,0.10763209393346379,0.9821428571428571,0.19400352733686066,55,456,2674,1
